,idtramo,transito (vh/h),des_tramo,coordinates,color
0,A132,1,ISABEL LA CATOLICA,"[[-0.37117061300000004, 39.4697261547], [-0.3691709146, 39.4668788802]]","(0, 255, 0)"
1,A180,1,PAZ,"[[-0.3742130222, 39.4735374603], [-0.37562348700000003, 39.4738221987]]","(0, 255, 0)"
2,B46,1,FUENTE ENCARROZ,"[[-0.3267270894, 39.4813462322], [-0.3257261132, 39.4813231995]]","(0, 255, 0)"
3,A302,1,"Mª CRISTINA, AVDA.","[[-0.3768526045, 39.4721780708], [-0.3777732981, 39.4734000013], [-0.37850581980000003, 39.4740600896]]","(0, 255, 0)"
4,A222,169,SAGUNTO De Santa Mónica a Maximiliano Thous,"[[-0.37504762350000004, 39.4815324969], [-0.3749635438, 39.4838410704], [-0.3745269607, 39.4853467354], [-0.3753901314, 39.4879399163]]","(0, 255, 0)"
5,B47,1,FUERTEVENTURA,"[[-0.32864910010000004, 39.4814250274], [-0.3280559547, 39.4813759496]]","(0, 255, 0)"
6,A113,1,GENERAL GIL DOLZ,"[[-0.3630235093, 39.471684418], [-0.3600831387, 39.4730431078]]","(0, 255, 0)"
7,A171,1,PADRE FERRIS,"[[-0.3860021279, 39.4847080792], [-0.38400246330000004, 39.481864371], [-0.3839265973, 39.4817635573]]","(0, 255, 0)"
8,B29,1,CUENCA TRAMOYERES,"[[-0.3608469924, 39.4843748995], [-0.3609067657, 39.4841626774], [-0.3607318432, 39.4829265585], [-0.3611529875, 39.4826185824]]","(0, 255, 0)"
9,A1,1,ACCESO BARCELONA Entre V-21 y Ronda Norte,"[[-0.3492140433, 39.4828284492], [-0.337522211, 39.4907250359]]","(0, 255, 0)"
10,A10,1980,"ALAMEDA, PASEO DE","[[-0.3679919262, 39.477154079499996], [-0.36715123390000004, 39.4767767019], [-0.364690726, 39.4737413393]]","(255, 165, 0)"
11,A102,270,ERNESTO FERRER,"[[-0.3543783854, 39.4714782665], [-0.3574880295, 39.4723863484]]","(0, 255, 0)"
