,PUNTO MUESTREO,LATITUD,LONGITUD,IMD
0,Ademuz,39.4959957,-0.403433189,85825
1,Autopista Saler,39.44630997,-0.343446988,31954
2,Autovía Alicante-Albacete,39.4388459,-0.369857582,106940
3,Avda. Cataluña,39.47739207,-0.355173308,61670
4,Avda. Cid,39.46927763,-0.417763887,94310
5,Avda. Constitución-Tavernes Blanques,39.49909,-0.370231131,21186
6,Avda. Hermanos Machado,39.50020697,-0.389046826,96536
7,Avda. Maestro Rodrigo,39.49030849,-0.406954063,36557
8,Avda. Oeste 1,39.47261784,-0.379779642,7642
9,Avda. Oeste 2,39.47051268,-0.379683772,15839
10,Bulevar Sud (La Fe),39.44584898,-0.383671409,41612
11,Dr. Pesset Aleixandre,39.48972374,-0.38474061,53440
12,Fernando Católico,39.47409465,-0.387725069,49688
13,Garrigues,39.47096846,-0.378849947,17030
14,Guillem de Castro,39.47361844,-0.383984872,15384
15,Marqués de Turia,39.46780052,-0.366902693,55141
16,María Cristina,39.47390682,-0.378356352,5441
17,Mislata,39.47284151,-0.408159064,17938
18,Peris i Valero,39.46027249,-0.367779598,42816
19,Politécnico (rotonda),39.48102256,-0.349373992,44626
20,Pont de Fusta,39.48064709,-0.37375143,30158
21,Primado Reig,39.48666038,-0.366654877,43346
22,Pérez Galdós,39.47191783,-0.39357874,57528
23,Pío Baroja (Puente 9 d'Octubre),39.47392674,-0.405844091,65090
24,Ronda Nord (túnel),39.49918455,-0.378843444,84713
25,San Vicente-La Torre,39.44115602,-0.39458673,25620
26,Serrería (avda. Puerto),39.46370797,-0.336503384,48249
27,Torrent,39.45483478,-0.406285616,77714
28,Torres de Serrano,39.47938326,-0.375707238,45701
29,Tres Cruces (Hospital General),39.46629402,-0.406028077,59475
30,V-21,39.48587439,-0.344662904,79170
31,Xátiva (plaza toros),39.46717201,-0.375578479,30871
